date,tvl
2021-03-17,148988798.0
2021-03-18,153204289.0
2021-03-19,147690914.0
2021-03-20,151935325.0
2021-03-21,152981122.0
2021-03-22,162065403.0
2021-03-23,156101311.0
2021-03-24,144439504.0
2021-03-25,135610450.0
2021-03-26,147786656.0
2021-03-27,172583244.0
2021-03-28,189014228.0
2021-03-29,202157669.0
2021-03-30,209794033.0
2021-03-31,216074736.0
2021-04-01,236083655.0
2021-04-02,236307232.0
2021-04-03,236512420.0
2021-04-04,236284645.0
2021-04-05,272660066.0
2021-04-06,272946157.0
2021-04-07,268548272.0
2021-04-08,279360808.0
2021-04-09,295059875.0
2021-04-10,331615408.0
2021-04-11,647663929.0
2021-04-12,739231459.0
2021-04-13,725758618.0
2021-04-14,789910959.0
2021-04-15,845558717.0
2021-04-16,832102238.0
2021-04-17,824749593.0
2021-04-18,729827260.0
2021-04-19,753461958.0
2021-04-20,678987265.0
2021-04-21,829807234.0
2021-04-22,857179023.0
2021-04-23,942962155.0
2021-04-24,901520179.0
2021-04-25,916232747.0
2021-04-26,1071510889.0
2021-04-27,1276876824.0
2021-04-28,1329907800.0
2021-04-29,1324521673.0
2021-04-30,1251992491.0
2021-05-01,1355545854.0
2021-05-02,1490183131.0
2021-05-03,1561282761.0
2021-05-04,1575814658.0
2021-05-05,1527816049.0
2021-05-06,1559507954.0
2021-05-07,1557256030.0
2021-05-08,1567358430.0
2021-05-09,1619266143.0
2021-05-10,1634582566.0
2021-05-11,1582705608.0
2021-05-12,1596631428.0
2021-05-13,1435048916.0
2021-05-14,1496478540.0
2021-05-15,1382212605.0
2021-05-16,1549574579.0
2021-05-17,1125804868.0
2021-05-18,1296947874.0
2021-05-19,875150588.0
2021-05-20,973602542.0
2021-05-21,715568965.0
2021-05-22,790006618.0
2021-05-23,658552593.0
2021-05-24,768757432.0
2021-05-25,612657114.0
2021-05-26,857310002.0
2021-05-27,850953177.0
2021-05-28,791685442.0
2021-05-29,736826756.0
2021-05-30,813407821.0
2021-05-31,880378004.0
2021-06-01,670808190.0
2021-06-02,848207713.0
2021-06-03,760054301.0
2021-06-04,740082595.0
2021-06-05,725056470.0
2021-06-06,742389346.0
2021-06-07,735811188.0
2021-06-08,691338751.0
2021-06-09,661518860.0
2021-06-10,562607615.0
2021-06-11,556162146.0
2021-06-12,534624148.0
2021-06-13,541039253.0
2021-06-14,556519807.0
2021-06-15,584211544.0
2021-06-16,547748099.0
2021-06-17,540478965.0
2021-06-18,516185477.0
2021-06-19,502604659.0
2021-06-20,506128155.0
2021-06-21,466164686.0
2021-06-22,447502806.0
2021-06-23,444512249.0
2021-06-24,448430968.0
2021-06-25,451721654.0
2021-06-26,423082407.0
2021-06-27,449526718.0
2021-06-28,463489716.0
2021-06-29,479139300.0
2021-06-30,491278563.0
2021-07-01,507472546.0
2021-07-02,790560134.0
2021-07-03,869787883.0
2021-07-04,873447775.0
2021-07-05,853035678.0
2021-07-06,885504288.0
2021-07-07,898078492.0
2021-07-08,855072856.0
2021-07-09,858662277.0
2021-07-10,848788419.0
2021-07-11,855127871.0
2021-07-12,832663878.0
2021-07-13,822681126.0
2021-07-14,831885719.0
2021-07-15,785680901.0
2021-07-16,781718509.0
2021-07-17,876082630.0
2021-07-18,886311874.0
2021-07-19,861778925.0
2021-07-20,854373926.0
2021-07-21,891610557.0
2021-07-22,919195017.0
2021-07-23,949581083.0
2021-07-24,970500585.0
2021-07-25,986521609.0
2021-07-26,997549981.0
2021-07-27,1023543513.0
2021-07-28,1066854851.0
2021-07-29,1135937952.0
2021-07-30,1192566473.0
2021-07-31,1244169934.0
2021-08-01,1204468607.0
2021-08-02,1235666585.0
2021-08-03,1245829134.0
2021-08-04,1290175469.0
2021-08-05,1364332725.0
2021-08-06,1314146303.0
2021-08-07,1327362329.0
2021-08-08,1304155428.0
2021-08-09,1361913466.0
2021-08-10,1343991879.0
2021-08-11,1343516825.0
2021-08-12,1403995543.0
2021-08-13,1463836340.0
2021-08-14,1508051128.0
2021-08-15,1631699574.0
2021-08-16,1729658494.0
2021-08-17,1786087699.0
2021-08-18,1997161281.0
2021-08-19,2103736573.0
2021-08-20,2274158627.0
2021-08-21,2275112735.0
2021-08-22,2218000709.0
2021-08-23,2250117206.0
2021-08-24,2204595033.0
2021-08-25,2193191447.0
2021-08-26,2253275462.0
2021-08-27,2439598288.0
2021-08-28,2567798841.0
2021-08-29,2593429466.0
2021-08-30,2709652837.0
2021-08-31,2735864216.0
2021-09-01,2877963189.0
2021-09-02,3029584099.0
2021-09-03,3191574878.0
2021-09-04,3328505721.0
