date,tvl
2020-04-03,5.0
2020-04-04,727015.0
2020-04-05,358540.0
2020-04-06,359600.0
2020-04-07,394849.0
2020-04-08,421822.0
2020-04-09,411572.0
2020-04-10,407302.0
2020-04-11,381010.0
2020-04-12,387466.0
2020-04-13,385646.0
2020-04-14,395377.0
2020-04-15,407044.0
2020-04-16,398905.0
2020-04-17,417915.0
2020-04-18,417559.0
2020-04-19,422086.0
2020-04-20,418329.0
2020-04-21,407602.0
2020-04-22,396117.0
2020-04-23,404825.0
2020-04-24,416662.0
2020-04-25,448769.0
2020-04-26,568215.0
2020-04-27,4029802.0
2020-04-28,4142127.0
2020-04-29,4321654.0
2020-04-30,4453972.0
2020-05-01,4477240.0
2020-05-02,7005457.0
2020-05-03,6975348.0
2020-05-04,7123384.0
2020-05-05,6780829.0
2020-05-06,7084858.0
2020-05-07,12037191.0
2020-05-08,11787381.0
2020-05-09,11927577.0
2020-05-10,11995240.0
2020-05-11,10673811.0
2020-05-12,10553851.0
2020-05-13,10995939.0
2020-05-14,11084193.0
2020-05-15,11350256.0
2020-05-16,11313773.0
2020-05-17,11193136.0
2020-05-18,15302255.0
2020-05-19,15634866.0
2020-05-20,15676526.0
2020-05-21,15613707.0
2020-05-22,15077387.0
2020-05-23,14995041.0
2020-05-24,15467683.0
2020-05-25,15371458.0
2020-05-26,14786228.0
2020-05-27,14894110.0
2020-05-28,15242960.0
2020-05-29,15194618.0
2020-05-30,15310258.0
2020-05-31,15980887.0
2020-06-01,17276873.0
2020-06-02,16609766.0
2020-06-03,17456386.0
2020-06-04,16970452.0
2020-06-05,17100150.0
2020-06-06,17485036.0
2020-06-07,17476475.0
2020-06-08,17717300.0
2020-06-09,18567898.0
2020-06-10,18124570.0
2020-06-11,17887038.0
2020-06-12,17859748.0
2020-06-13,16862957.0
2020-06-14,16932636.0
2020-06-15,16894660.0
2020-06-16,15954665.0
2020-06-17,16618509.0
2020-06-18,16804750.0
2020-06-19,16655808.0
2020-06-20,16505917.0
2020-06-21,16405907.0
2020-06-22,16486349.0
2020-06-23,16766709.0
2020-06-24,17028775.0
2020-06-25,16605936.0
2020-06-26,16572612.0
2020-06-27,16391710.0
2020-06-28,16552898.0
2020-06-29,16205849.0
2020-06-30,16511756.0
2020-07-01,17080754.0
2020-07-02,17016721.0
2020-07-03,17338124.0
2020-07-04,17380952.0
2020-07-05,17318002.0
2020-07-06,17143594.0
2020-07-07,18454528.0
2020-07-08,18193378.0
2020-07-09,18429257.0
2020-07-10,19479030.0
2020-07-11,18629269.0
2020-07-12,18999847.0
2020-07-13,18854212.0
2020-07-14,18955175.0
2020-07-15,18165080.0
2020-07-16,18225545.0
2020-07-17,17633803.0
2020-07-18,17909449.0
2020-07-19,17777265.0
2020-07-20,17942880.0
2020-07-21,17937692.0
2020-07-22,18232814.0
2020-07-23,18133704.0
2020-07-24,18423628.0
2020-07-25,18326615.0
2020-07-26,18971941.0
2020-07-27,19345174.0
2020-07-28,19116718.0
2020-07-29,19240546.0
2020-07-30,20204236.0
2020-07-31,19517869.0
2020-08-01,20112514.0
2020-08-02,20683397.0
2020-08-03,19593266.0
2020-08-04,20348594.0
2020-08-05,20853031.0
2020-08-06,21365989.0
2020-08-07,20825933.0
2020-08-08,21419595.0
2020-08-09,21123103.0
2020-08-10,21303882.0
2020-08-11,22132020.0
2020-08-12,21506630.0
2020-08-13,20843668.0
2020-08-14,21006119.0
2020-08-15,25450896.0
2020-08-16,24966321.0
2020-08-17,25510712.0
2020-08-18,30917327.0
2020-08-19,34266338.0
2020-08-20,33934448.0
2020-08-21,34706785.0
2020-08-22,32437542.0
2020-08-23,30588993.0
2020-08-24,30232330.0
2020-08-25,32231109.0
2020-08-26,30558877.0
2020-08-27,38106741.0
2020-08-28,38127051.0
2020-08-29,41018122.0
2020-08-30,42666368.0
2020-08-31,54308714.0
2020-09-01,56973527.0
2020-09-02,91869015.0
2020-09-03,119337115.0
2020-09-04,163889358.0
2020-09-05,192278987.0
2020-09-06,144687948.0
2020-09-07,151057850.0
2020-09-08,162984475.0
2020-09-09,170384510.0
2020-09-10,163793799.0
2020-09-11,141956271.0
2020-09-12,132782911.0
2020-09-13,125330244.0
2020-09-14,117652261.0
2020-09-15,97259489.0
2020-09-16,85912339.0
2020-09-17,210380212.0
2020-09-18,247246737.0
2020-09-19,288632326.0
2020-09-20,298293172.0
2020-09-21,296269445.0
2020-09-22,289859177.0
2020-09-23,287623958.0
2020-09-24,285830545.0
2020-09-25,293646296.0
2020-09-26,297671734.0
2020-09-27,297124970.0
2020-09-28,288111416.0
2020-09-29,289485932.0
2020-09-30,289122061.0
2020-10-01,243870379.0
2020-10-02,215966551.0
2020-10-03,205831819.0
2020-10-04,213589099.0
2020-10-05,209245679.0
2020-10-06,205232546.0
2020-10-07,200072200.0
2020-10-08,198637029.0
2020-10-09,194864116.0
2020-10-10,201313967.0
2020-10-11,199975897.0
2020-10-12,196778832.0
2020-10-13,193274706.0
2020-10-14,194627432.0
2020-10-15,203283734.0
2020-10-16,209914922.0
2020-10-17,205994839.0
2020-10-18,209809794.0
2020-10-19,210119098.0
2020-10-20,207614296.0
2020-10-21,196095897.0
2020-10-22,197912265.0
2020-10-23,215376665.0
2020-10-24,214510672.0
2020-10-25,218394195.0
2020-10-26,217978157.0
2020-10-27,216474618.0
2020-10-28,217806515.0
2020-10-29,219324101.0
2020-10-30,211641166.0
2020-10-31,200536024.0
2020-11-01,203796585.0
2020-11-02,202496487.0
2020-11-03,177037390.0
2020-11-04,166342425.0
2020-11-05,163920711.0
2020-11-06,165881077.0
2020-11-07,168271933.0
2020-11-08,166612807.0
2020-11-09,171241946.0
2020-11-10,170577443.0
2020-11-11,170891998.0
2020-11-12,169342409.0
2020-11-13,167211553.0
2020-11-14,169511995.0
2020-11-15,168000409.0
2020-11-16,171980127.0
2020-11-17,170666125.0
2020-11-18,175545260.0
2020-11-19,162007169.0
2020-11-20,151829576.0
2020-11-21,148060928.0
2020-11-22,156834246.0
2020-11-23,152877932.0
2020-11-24,158800804.0
2020-11-25,170310578.0
2020-11-26,166616760.0
2020-11-27,147407489.0
2020-11-28,145159133.0
2020-11-29,149248530.0
2020-11-30,150974442.0
2020-12-01,155355505.0
2020-12-02,145982721.0
2020-12-03,145280410.0
2020-12-04,146731776.0
2020-12-05,139911683.0
2020-12-06,142016901.0
2020-12-07,144233314.0
2020-12-08,137145651.0
2020-12-09,139864848.0
2020-12-10,139896457.0
2020-12-11,137122774.0
2020-12-12,135010029.0
2020-12-13,138354916.0
2020-12-14,140758557.0
2020-12-15,141087802.0
2020-12-16,141484556.0
2020-12-17,144721236.0
2020-12-18,148275961.0
2020-12-19,147907074.0
2020-12-20,149456248.0
2020-12-21,149946013.0
2020-12-22,142438068.0
2020-12-23,140940190.0
2020-12-24,128140693.0
2020-12-25,132863171.0
2020-12-26,138828187.0
2020-12-27,135014400.0
2020-12-28,135456937.0
2020-12-29,141431352.0
2020-12-30,134423902.0
2020-12-31,131221879.0
2021-01-01,130786792.0
2021-01-02,131374959.0
2021-01-03,131724037.0
2021-01-04,142134018.0
2021-01-05,143564741.0
2021-01-06,142398686.0
2021-01-07,148912928.0
