date,tvl
2026-09-04,2270937727.947452
2026-09-05,2270937727.947452
2026-09-06,2270937727.947452
2026-09-07,2270937727.947452
2026-09-08,2270937727.947452
2026-09-09,2252937727.947452
2026-09-10,2252937727.947452
2026-09-11,2252937727.947452
2026-09-12,2252937727.947452
2026-09-13,2252937727.947452
2026-09-14,2252937727.947452
2026-09-15,2252937727.947452
2026-09-16,2207937727.947452
2026-09-17,2207937727.947452
2026-09-18,2165937727.947452
2026-09-19,2165937727.947452
2026-09-20,2165937727.947452
2026-09-21,2165937727.947452
2026-09-22,2165937727.947452
2026-09-23,2098937727.947452
2026-09-24,2098937727.947452
2026-09-25,2073937727.947452
2026-09-26,2073937727.947452
