date,tvl
2026-09-04,2205952845.32016
2026-09-05,2205883449.07587
2026-09-06,2205848707.37181
2026-09-07,2205831250.3563
2026-09-08,2205831199.0563
2026-09-09,2205831247.7913003
2026-09-10,2205796077.47574
2026-09-11,2207766706.89318
2026-09-12,2207743148.50704
2026-09-13,2207690472.72825
2026-09-14,2207624981.7734103
2026-09-15,2215791470.4084897
2026-09-16,2215719654.15852
2026-09-17,2215713665.2067103
2026-09-18,2215611601.83036
2026-09-19,2215593977.62302
2026-09-20,2215605883.88106
2026-09-21,2216016687.41199
2026-09-22,2218097303.48052
2026-09-23,2218097303.48052
