date,tvl
2026-09-04,1013240629.280578
2026-09-05,1014987488.8263584
2026-09-06,1016906703.6907812
2026-09-07,1020484187.467618
2026-09-08,1020482727.8472532
2026-09-09,1021456811.1244286
2026-09-10,1032257377.671991
2026-09-11,1034781899.383427
2026-09-12,1038967921.0340393
2026-09-13,1038967921.0340393
2026-09-14,1041716467.506667
2026-09-15,1046626743.4401011
2026-09-16,1047030252.7350916
2026-09-17,1047105734.4667332
2026-09-18,1032343420.277823
2026-09-19,1032343796.1029598
2026-09-20,1032358811.5690434
2026-09-21,1038805082.4261172
2026-09-22,1032734623.7181088
2026-09-23,1035357461.2051592
2026-09-24,1038672533.395326
2026-09-25,1038672533.395326
