date,tvl
2026-09-04,1205522335.2102184
2026-09-05,1205522335.2102184
2026-09-06,1205522335.2102184
2026-09-07,1205522335.2102184
2026-09-08,1205522354.2102184
2026-09-09,1205522455.1102183
2026-09-10,1205522456.1102183
2026-09-11,1205522356.2091186
2026-09-12,1205522356.2091186
2026-09-13,1205522356.2091186
2026-09-14,1215522359.2091186
2026-09-15,1214527360.2091186
2026-09-16,1214527386.2091186
2026-09-17,1214397387.2091186
2026-09-18,1214397388.2091186
2026-09-19,1214397388.2091186
2026-09-20,1214397388.2091186
2026-09-21,1214397391.2091186
2026-09-22,1213717485.4359782
2026-09-23,1213717485.4359782
