date,rwa_total
2026-09-04,24483948179.198254
2026-09-05,24455167734.429623
2026-09-06,24472893338.359688
2026-09-07,24477366566.1649
2026-09-08,28124271568.299057
2026-09-09,28065135417.308567
2026-09-10,27963330382.61771
2026-09-11,27967450812.60578
2026-09-12,27972765460.76612
2026-09-13,28029714456.936832
2026-09-14,28031808070.382675
2026-09-15,24282876428.1928
2026-09-16,27882239435.77979
2026-09-17,27597715719.39796
2026-09-18,27515762522.24121
2026-09-19,23857931714.120567
2026-09-20,23879390995.9216
2026-09-21,23822359119.61368
2026-09-22,23685180988.547615
2026-09-23,23579016787.561504
2026-09-24,23599769835.27237
2026-09-25,27226531906.28719
2026-09-26,23634250047.354115
