name,slug,tvl
BlackRock BUIDL,blackrock-buidl,3561249728.0204487
Tether Gold,tether-gold,3074535838.5797167
Spiko,spiko,2618932614.9428697
Circle USYC,circle-usyc,2603040742.41969
Ondo Yield Assets,ondo-yield-assets,2558129893.5915637
Paxos Gold,paxos-gold,1870453240.9768798
Centrifuge Protocol,centrifuge-protocol,1529897101.1949475
WisdomTree,wisdomtree,1230504712.8418307
Blockchain Capital,blockchain-capital,962218760.7412999
Ondo Global Markets,ondo-global-markets,936222093.6309952
Anemoy Capital,anemoy-capital,750032324.6623417
Invesco USTB,invesco-ustb,604995623.6841671
Hastra,hastra,604472740.7319328
Ethena USDtb,ethena-usdtb,483279764.6343673
Re,re,355584855.18249154
OnRe,onre,309536327.92506224
USD AI,usd-ai,290556681.16873354
Huma Finance V2,huma-finance-v2,287322212.5584228
OpenTrade,opentrade,262438285.38891253
OpenEden TBILL,openeden-tbill,245852793.8064985
